tags
Mix	O
the	O
cream	B-FOOD
cheese	I-FOOD
,	O
beef	B-FOOD
,	O
olives	B-FOOD
,	O
onion	B-FOOD
,	O
and	O
Worcestershire	B-FOOD
sauce	I-FOOD
together	O
in	O
a	O
bowl	O
until	O
evenly	O
blended	O
.	O
Keeping	O
the	O
mixture	O
in	O
the	O
bowl	O
,	O
scrape	O
it	O
into	O
a	O
semi-ball	O
shape	O
.	O
Cover	O
,	O
and	O
refrigerate	O
until	O
firm	O
,	O
at	O
least	O
2	O
hours	O
.	O
Place	O
a	O
large	O
sheet	O
of	O
waxed	O
paper	O
on	O
a	O
flat	O
surface	O
.	O
Sprinkle	O
with	O
walnuts	B-FOOD
.	O
Roll	O
the	O
cheese	B-FOOD
ball	I-FOOD
in	O
the	O
walnuts	B-FOOD
until	O
completely	O
covered	O
.	O
Transfer	O
the	O
cheese	B-FOOD
ball	I-FOOD
to	O
a	O
serving	O
plate	O
,	O
or	O
rewrap	O
with	O
waxed	O
paper	O
and	O
refrigerate	O
until	O
needed	O
.	O
Preheat	O
oven	O
to	O
275	O
degrees	O
F	O
(	O
135	O
degrees	O
C	O
)	O
.	O
In	O
a	O
shallow	O
baking	O
dish	O
combine	O
the	O
artichoke	B-FOOD
hearts	I-FOOD
,	O
mozzarella	B-FOOD
cheese	I-FOOD
,	O
parmesan	B-FOOD
cheese	I-FOOD
and	O
mayonnaise	B-FOOD
.	O
Bake	O
for	O
45	O
minutes	O
,	O
or	O
until	O
hot	O
and	O
bubbly	O
.	O
Sprinkle	O
with	O
almonds	B-FOOD
if	O
desired	O
.	O
Serve	O
hot	O
with	O
tortilla	B-FOOD
chips	I-FOOD
or	O
crackers	B-FOOD
.	O
Bring	O
a	O
small	O
saucepan	O
of	O
water	B-FOOD
to	O
boil	O
.	O
Turn	O
off	O
heat	O
.	O
Place	O
sun-dried	B-FOOD
tomatoes	I-FOOD
in	O
the	O
water	B-FOOD
and	O
cover	O
for	O
5	O
minutes	O
.	O
Drain	O
and	O
finely	O
chop	O
.	O
In	O
a	O
medium	O
bowl	O
,	O
mix	O
cream	B-FOOD
cheese	I-FOOD
and	O
garlic	B-FOOD
.	O
Line	O
a	O
medium	O
bowl	O
or	O
loaf	O
pan	O
with	O
a	O
large	O
piece	O
of	O
dampened	O
cheese	O
cloth	O
.	O
Layer	O
with	O
1	O
/	O
3	O
of	O
the	O
provolone	B-FOOD
cheese	I-FOOD
.	O
Spread	O
with	O
1	O
/	O
2	O
the	O
pesto	B-FOOD
.	O
Pour	O
in	O
1	O
/	O
2	O
the	O
cream	B-FOOD
cheese	I-FOOD
and	O
garlic	B-FOOD
mixture	I-FOOD
.	O
Layer	O
with	O
1	O
/	O
2	O
the	O
sun-dried	B-FOOD
tomatoes	I-FOOD
.	O
Layer	O
with	O
1	O
/	O
3	O
provolone	B-FOOD
,	O
remaining	O
pesto	B-FOOD
,	O
remaining	O
cream	B-FOOD
cheese	I-FOOD
and	O
garlic	B-FOOD
mixture	I-FOOD
and	O
remaining	O
sun-dried	B-FOOD
tomatoes	I-FOOD
.	O
Top	O
with	O
remaining	O
provolone	B-FOOD
cheese	I-FOOD
.	O
Pull	O
cheese	O
cloth	O
around	O
the	O
layered	O
mixture	O
and	O
gently	O
press	O
into	O
a	O
bowl	O
to	O
mold	O
and	O
remove	O
excess	B-FOOD
oil	I-FOOD
.	O
Chill	O
in	O
the	O
refrigerator	O
3	O
to	O
4	O
hours	O
.	O
Remove	O
cheese	O
cloth	O
and	O
turn	O
upside	O
down	O
onto	O
a	O
large	O
dish	O
to	O
serve	O
.	O
Mash	O
garlic	B-FOOD
with	O
the	O
salt	B-FOOD
in	O
a	O
small	O
bowl	O
.	O
Place	O
into	O
a	O
blender	O
or	O
food	O
processor	O
along	O
with	O
the	O
garbanzo	B-FOOD
beans	I-FOOD
,	O
tahini	B-FOOD
,	O
lemon	B-FOOD
juice	I-FOOD
,	O
honey	B-FOOD
,	O
and	O
enough	O
water	B-FOOD
to	O
cover	O
the	O
beans	B-FOOD
.	O
Process	O
until	O
smooth	O
.	O
Spoon	O
into	O
a	O
serving	O
dish	O
,	O
and	O
drizzle	O
2	O
tablespoons	O
of	O
olive	B-FOOD
oil	I-FOOD
over	O
the	O
top	O
.	O
Preheat	O
the	O
oven	O
to	O
400	O
degrees	O
F	O
(	O
200	O
degrees	O
C	O
)	O
.	O
Brush	O
pita	B-FOOD
breads	I-FOOD
with	O
remaining	O
olive	B-FOOD
oil	I-FOOD
,	O
and	O
cut	O
into	O
wedges	O
.	O
Season	O
with	O
salt	B-FOOD
and	O
fresh	B-FOOD
rosemary	I-FOOD
.	O
Bake	O
for	O
5	O
minutes	O
in	O
the	O
preheated	O
oven	O
.	O
Cool	O
,	O
and	O
serve	O
with	O
hummus	B-FOOD
.	O
Preheat	O
oven	O
to	O
350	O
degrees	O
F	O
(	O
175	O
degrees	O
C	O
)	O
.	O
In	O
a	O
medium	O
bowl	O
combine	O
the	O
shredded	B-FOOD
chicken	I-FOOD
,	O
picante	B-FOOD
sauce	I-FOOD
and	O
ground	B-FOOD
cumin	I-FOOD
.	O
Mix	O
together	O
.	O
In	O
a	O
small	O
skillet	O
heat	O
vegetable	B-FOOD
oil	I-FOOD
over	O
medium	O
high	O
heat	O
.	O
Place	O
a	O
corn	B-FOOD
tortilla	I-FOOD
in	O
the	O
oil	B-FOOD
for	O
1	O
to	O
2	O
seconds	O
on	O
either	O
side	O
to	O
soften	O
.	O
Repeat	O
with	O
all	O
of	O
the	O
tortillas	B-FOOD
(	O
if	O
possible	O
,	O
have	O
someone	O
help	O
you	O
do	O
this	O
)	O
.	O
Place	O
tortillas	O
on	O
paper	O
towel	O
to	O
soak	O
up	O
some	O
of	O
the	O
oil	B-FOOD
.	O
Put	O
1	O
tablespoon	O
of	O
the	O
chicken	B-FOOD
mixture	I-FOOD
in	O
the	O
center	O
of	O
a	O
tortilla	B-FOOD
and	O
sprinkle	O
some	O
cheese	B-FOOD
on	O
top	O
.	O
Roll	O
up	O
tortilla	B-FOOD
and	O
place	O
on	O
a	O
lightly	O
greased	O
cookie	O
sheet	O
,	O
seam	O
side	O
down	O
.	O
Repeat	O
with	O
all	O
of	O
the	O
tortillas	B-FOOD
until	O
chicken	B-FOOD
mixture	I-FOOD
is	O
gone	O
.	O
If	O
there	O
is	O
any	O
cheese	B-FOOD
left	O
over	O
,	O
sprinkle	O
it	O
over	O
the	O
rolled	B-FOOD
tortillas	I-FOOD
.	O
Bake	O
tortillas	O
in	O
the	O
preheated	O
oven	O
for	O
15	O
to	O
25	O
minutes	O
or	O
until	O
tortillas	O
are	O
a	O
little	O
crispy	O
and	O
golden	O
brown	O
.	O
Spread	O
cream	B-FOOD
cheese	I-FOOD
over	O
a	O
meat	B-FOOD
slice	I-FOOD
to	O
cover	O
.	O
Place	O
a	O
pickle	B-FOOD
piece	I-FOOD
on	O
one	O
end	O
,	O
and	O
roll	O
the	O
meat	B-FOOD
up	O
.	O
Repeat	O
with	O
remaining	O
ingredients	O
.	O
Cut	O
into	O
1	O
1	O
/	O
2	O
inch	O
pieces	O
,	O
and	O
chill	O
until	O
ready	O
to	O
serve	O
.	O
Mix	O
the	O
dry	B-FOOD
ranch	I-FOOD
salad	I-FOOD
dressing	I-FOOD
mix	I-FOOD
,	O
mayonnaise	B-FOOD
,	O
and	O
milk	B-FOOD
in	O
a	O
bowl	O
.	O
Beat	O
in	O
the	O
cream	B-FOOD
cheese	I-FOOD
with	O
an	O
electric	O
mixer	O
until	O
smooth	O
.	O
Mix	O
in	O
Cheddar	B-FOOD
cheese	I-FOOD
.	O
Cover	O
bowl	O
with	O
plastic	O
wrap	O
,	O
and	O
freeze	O
30	O
minutes	O
.	O
Divide	O
mixture	O
in	O
half	O
,	O
and	O
shape	O
into	O
balls	O
.	O
Roll	O
each	O
ball	O
in	O
almonds	B-FOOD
to	O
coat	O
.	O
Cover	O
and	O
refrigerate	O
balls	O
until	O
ready	O
to	O
serve	O
.	O
Soak	O
rice	B-FOOD
in	O
cold	B-FOOD
water	I-FOOD
,	O
and	O
drain	O
.	O
In	O
a	O
large	O
bowl	O
,	O
mix	O
together	O
the	O
ground	B-FOOD
lamb	I-FOOD
,	O
rice	B-FOOD
,	O
allspice	B-FOOD
,	O
salt	B-FOOD
and	O
pepper	B-FOOD
until	O
well	O
blended	O
.	O
Place	O
about	O
1	O
tablespoon	O
of	O
the	O
meat	B-FOOD
mixture	I-FOOD
onto	O
the	O
center	O
of	O
each	O
leaf	B-FOOD
.	O
Fold	O
the	O
leaf	O
over	O
once	O
,	O
turn	O
in	O
the	O
edges	O
on	O
each	O
side	O
,	O
and	O
then	O
roll	O
the	O
leaf	O
closed	O
.	O
Stack	O
the	O
leaf-rolls	B-FOOD
in	O
a	O
large	O
pot	O
,	O
covering	O
each	O
layer	O
with	O
slices	O
of	O
garlic	B-FOOD
.	O
Add	O
just	O
enough	O
water	B-FOOD
to	O
cover	O
the	O
rolls	B-FOOD
,	O
then	O
pour	O
in	O
the	O
lemon	B-FOOD
juice	I-FOOD
.	O
Add	O
the	O
olives	B-FOOD
to	O
the	O
pot	O
for	O
flavoring	O
,	O
if	O
desired	O
.	O
Place	O
a	O
plate	O
on	O
top	O
of	O
the	O
rolls	B-FOOD
to	O
keep	O
them	O
under	O
water	O
.	O
Bring	O
to	O
a	O
boil	O
,	O
then	O
reduce	O
heat	O
,	O
cover	O
and	O
simmer	O
for	O
1	O
hour	O
and	O
15	O
minutes	O
.	O
Taste	O
the	O
rice	B-FOOD
for	O
doneness	O
.	O
Grape	B-FOOD
leaves	I-FOOD
taste	O
even	O
better	O
after	O
sitting	O
for	O
several	O
hours	O
.	O
Serve	O
and	O
enjoy	O
.	O
Pour	O
the	O
beet	B-FOOD
juice	I-FOOD
into	O
a	O
medium-size	O
pot	O
.	O
Stir	O
in	O
the	O
brown	B-FOOD
sugar	I-FOOD
,	O
vinegar	B-FOOD
,	O
water	B-FOOD
,	O
salt	B-FOOD
,	O
cloves	B-FOOD
,	O
and	O
the	O
cinnamon	B-FOOD
stick	I-FOOD
.	O
Place	O
the	O
pot	O
over	O
a	O
medium	O
heat	O
for	O
8	O
minutes	O
,	O
stirring	O
occasionally	O
.	O
Place	O
the	O
beets	B-FOOD
into	O
the	O
liquid	B-FOOD
mixture	I-FOOD
and	O
let	O
it	O
cook	O
for	O
an	O
additional	O
2	O
minutes	O
to	O
allow	O
the	O
beets	B-FOOD
to	O
heat	O
.	O
Place	O
the	O
hard	B-FOOD
cooked	I-FOOD
eggs	I-FOOD
(	O
with	O
the	O
shells	B-FOOD
removed	O
)	O
in	O
a	O
container	O
with	O
a	O
tight-fitting	O
lid	O
.	O
Pour	O
the	O
liquid	B-FOOD
and	O
beets	B-FOOD
into	O
the	O
container	O
with	O
the	O
eggs	B-FOOD
.	O
Store	O
the	O
container	O
in	O
the	O
refrigerator	O
for	O
approximately	O
5	O
days	O
before	O
eating	O
.	O
Preheat	O
oven	O
to	O
250	O
degrees	O
F	O
(	O
120	O
degrees	O
C	O
)	O
.	O
Line	O
a	O
baking	O
sheet	O
with	O
parchment	O
paper	O
.	O
Beat	O
egg	B-FOOD
whites	I-FOOD
and	O
vanilla	B-FOOD
extract	I-FOOD
in	O
a	O
large	O
bowl	O
;	O
add	O
almonds	B-FOOD
and	O
toss	O
to	O
coat	O
.	O
Stir	O
brown	B-FOOD
sugar	I-FOOD
